GeneID uniprot
6303 P21673
3744 Q16322
63939 Q9NTX9
144124 Q9H207
6710 P11277
1370 P22792
3050 P02008
7871 Q14BN4
100130733 Q7Z2Q7
285704 Q6NW40
51661 Q9Y680
55683 Q9P2N6
2495 P02794
89944 Q8IW92
57480 Q9ULL1
23210 Q6NYC1
375056 Q5JRA6
55968 Q9UNZ2
79088 Q9BUY5
100532731 R4GMX3
3340 P52848
391191 Q8NG84
3732 P27701
481 P05026
3949 P01130
128272 Q8IW93
129303 Q86TG1
51460 Q9UHJ3
166863 Q8TBY0
55187 Q5THJ4
140679 Q9H598
163050 Q8TBZ8
26737 Q8NH94
8425 Q8N2S1
7337 Q05086
55124 Q8TC59
139886 Q56A73
983 P06493
154064 Q5VY80
266977 Q5T601
84518 Q9BYD5
114784 Q7Z408
254887 Q8IYP9
259240 Q8NEX5
3543 P15814
1364 O14493
115294 Q96MG8
92241 Q6JBY9
25945 Q9NQS3
83900 Q9BYQ3
4110 P43364
55552 P16415
9906 P0CK97
402135 Q8NHB8
641649 Q6ZNR0
7044 O00292
390 P61587
85379 Q9BY89
9079 O43679
84182 Q4G0A6
126969 Q8N4M1
101060211 P0DMU8
10004 Q9UQQ1
146822 Q96T59
50840 Q9NYV8
94234 Q9C009
54470 Q7L4S7
4736 P62906
728224 A0A0G2JLE6
126231 Q86YE8
8651 O15524
10681 O14775
57221 Q5TH69
5298 Q9UBF8
57147 Q8IZE3
140885 P78324
85461 Q9C0D5
64784 Q6UUV7
49854 Q9ULJ3
3026 Q14520
64285 Q96CC6
84080 Q9H0I2
57701 Q9HCH0
55515 Q96FT7
4951 P0CE71
440270 A8MQT2
4084 Q05195
6811 Q13190
57451 Q9NT68
6403 P16109
131405 Q2Q1W2
22900 Q9Y2G2
55703 Q9NW08
2237 P39748
65059 Q70E73
4072 P16422
122618 Q96BZ4
138802 Q8NGS7
100287513 D6RA61
10482 Q9UBU9
6513 P11166
8038 O43184
7743 O75820
10077 Q96QS1
868 Q13191
10013 Q9UBN7
3933 P31025
762 P22748
658 O00238
5599 P45983
166929 Q8NHU3
84661 Q9C005
6756 Q16384
6257 P28702
6609 P17405
7314 P0CG47
57191 Q9GZP7
388551 Q2WEN9
93986 O15409
3485 P18065
56980 Q9NQV6
10391 Q9UQ03
9678 O94880
23080 Q8NBF6
5081 P23759
1396 P50238
2651 Q8N0V5
83690 Q9H336
9570 O14653
6698 P35321
4644 Q9Y4I1
576 O60241
678 P47974
345079 A6NEL2
57396 Q9HAZ1
5321 P47712
60 P60709
6009 Q15382
23546 O95473
285242 A5X5Y0
624 P30411
340441 Q6S8J7
2623 P15976
4115 O15481
386685 P60413
1442 P0DML3
222826 Q8IXS0
91607 Q7Z7L1
56731 Q9NR83
118924 Q70Z53
7249 P49815
8884 Q9Y289
200810 Q6GMV1
161753 Q8IXM7
161247 A5D6W6
22862 Q9Y2H6
83983 Q9BXA6
349334 Q8WXT5
11056 Q9Y2R4
388561 Q86XN6
445329 P0DMM9
7291 Q15672
378108 Q86UV6
1638 P40126
9737 Q5JY77
144110 Q8N2M4
3652 Q9Y573
9416 Q9BUQ8
84458 Q96JN0
1825 Q14574
2921 P19876
728369 Q0WX57
5528 Q14738
9807 Q92551
11014 P33947
10050 Q9Y2C5
51290 Q96RQ1
54704 Q9P0J1
80818 Q9C0F3
1915 P68104
1734 Q92813
79295 Q8NGV6
259285 P59534
56141 Q9UN72
8409 Q9UBK9
26145 Q8IU81
134391 Q8TDV0
1418 P11844
7368 Q16880
9324 Q15651
5878 P51148
87 P12814
90333 Q5VIY5
9246 O14933
338376 Q86WN2
29105 Q9Y6A4
9525 O75351
65997 Q9BPW5
4624 P13533
7775 Q9UNY5
79767 Q96BJ8
5336 P16885
1374 P50416
1381 P29762
153657 Q6PF05
399694 Q6S5L8
1663 Q96FC9
81025 P57773
1559 P11712
553 P47901
81127 Q8NH41
220 P47895
23272 Q9UK61
139285 Q5JTC6
51802 Q9NY37
445815 Q9Y2D5
54662 Q9NVG8
3802 A0A1W2PPV9
30814 Q9NZK7
79695 Q8IXK2
408187 Q6IE38
2535 Q14332
80823 Q6PI77
338382 Q96AH8
26499 Q9NYT0
10610 Q9UJ37
6506 P43004
27133 Q8NCM2
160 O95782
2515 Q99965
64241 Q9H221
78990 Q96DC9
100131755 Q5H9R4
155054 Q6IV72
55827 Q58WW2
8787 O75916
27037 Q8IZ69
6622 P37840
63928 O43745
4212 O14770
50855 Q9NPB6
2001 Q9UKW6
54809 Q5K651
121268 Q8TAI7
84282 Q8IUD6
1004 P55285
4923 P30989
373863 Q8IYX4
3354 P28566
23353 O94901
114134 Q96QE2
126393 O14558
55207 Q9NVJ2
79600 Q2MV58
22809 Q9Y2D1
64778 Q53EP0
84941 Q96JZ2
1318 O15432
102724428 A0A0B4J2F2
6741 P05455
253558 Q6UWP7
285440 Q6ZWL3
26052 Q9UQ16
79629 Q9H607
23576 O94760
4225 Q16820
93082 Q96EH8
116931 Q86YW9
16 P49588
253959 Q6GYQ0
440193 Q9P219
120103 Q6YBV0
51332 Q9NRC6
125931 Q6UY09
23266 O95490
27123 Q9UBU2
135 P29274
341208 Q6MZM0
26689 Q15615
3163 P30519
54575 Q9HAW8
9712 Q92738
554282 H0Y354
4719 P28331
65986 Q96DT7
2529 Q11130
114822 Q8TCX5
1749 P56178
5563 P54646
23007 Q4KWH8
199786 Q86XR2
23201 Q92567
80975 Q9H3S3
10656 O75525
7728 Q9Y473
92370 Q8TE99
91694 Q17RB8
1583 P05108
80341 Q8N4F0
124565 Q9HBR0
3199 O43364
205147 Q8N944
1678 O60220
27334 O00398
57611 Q6UXK2
4298 Q03111
6732 Q96SB4
415117 Q8N4C7
374900 Q3ZCX4
9725 O94886
641 P54132
10411 O95398
11141 Q9NZN1
22978 P49902
11214 Q12802
2873 Q13098
54762 Q8IYS0
9001 P54257
23243 O15084
120066 Q8WZ94
344148 O14513
27314 Q15771
1175 P53680
2935 P15170
55511 Q9NXZ1
283209 Q6PCE3
3918 Q13753
100526767 Q9Y3E7
7750 Q9UBW7
7978 Q99551
8751 Q13444
4139 Q9P0L2
6868 P78536
344658 Q7Z3H4
9747 Q9Y4C2
124535 Q4G112
6715 P18405
57089 Q9NQZ7
10942 Q9Y6M0
51755 Q9NYV4
25891 Q6UXH9
9053 Q14244
93594 Q96DN5
728577 Q96NU0
9709 Q15011
9271 Q96J94
84669 Q8NFA0
433 P07307
54536 Q8TAG9
27141 Q9UHD4
23338 Q9NQC1
91768 Q8TDN4
160857 Q5T0U0
6875 Q92750
146713 A6NFN3
56953 Q9NPB1
23074 A0JNW5
5293 O00329
353189 Q6ZQN7
11244 Q9UKY1
728642 Q9UQ88
442191 Q9UGF5
116844 P02750
119774 Q8NGK3
23428 Q9UHI5
7592 P51814
30811 P57058
140883 Q86YH2
23131 Q9UKJ3
2948 Q03013
7272 P33981
55308 Q9NUU7
333926 Q5JR12
26492 Q6IF36
6643 O60749
57408 Q9HBL6
1852 Q99956
23424 Q8NHU6
55832 Q86VP6
2049 P54753
3315 P04792
81669 Q96S94
59353 Q53FP2
8348 P23527
23625 Q8N5H3
55510 Q9NXZ2
8841 O15379
388403 Q96QA6
5046 P29122
57151 O75951
65987 Q9BQ13
10213 O00487
6928 P35680
23646 Q8IV08
84851 Q96A61
283629 Q6SA08
92749 Q96MC2
100506127 Q3ZCU0
1284 P08572
340745 A6NDA9
4901 P54845
29843 Q9P0U3
165545 Q8TE96
3000 Q02846
8632 Q9UFH2
55661 Q96GQ7
3227 O43248
4633 P10916
11318 O15218
6528 Q92911
51496 Q05D32
23406 Q14019
90737 Q96GU1
30848 O75638
81027 Q9H4B7
56125 Q9Y5F2
23043 Q9UKE5
10097 P61160
79993 A1L3X0
11158 Q9UNT1
374654 Q2M1P5
3416 P14735
114788 Q7Z407
10385 Q8WVV5
10265 P78411
56957 Q6GQQ9
26504 Q6P4Q7
60506 Q9GZU5
346157 Q9UJN7
81 O43707
5531 P60510
80323 Q9H2F9
246176 Q8NHY3
29948 Q9UJX0
29094 Q3ZCW2
84258 Q9BQG1
22 O75027
55567 Q8TD57
84948 Q53EQ6
146722 Q8TDQ1
6782 P48723
9356 Q4U2R8
390265 Q8NGN6
168667 Q8N8U9
54732 Q9BVK6
3344 P32314
